EVENTTYPE;REGISTERDATE;STOPID;ODOMETER;LATITUDE;LONGITUDE;TASKID;LINEID;TRIPID;DATAGRAMID;DATAGRAMDATE;BUSID
0;2-nov-18;501951;507;34085083;-765472117;383;421;246;5795963092;01-NOV-18 01.59.43.000000 PM;1
0;2-nov-18;501951;696;34103650;-765474600;383;421;246;5795963907;01-NOV-18 02.00.12.000000 PM;1
0;2-nov-18;501951;978;34132483;-765479400;383;421;246;5795964401;01-NOV-18 02.00.30.000000 PM;1
0;2-nov-18;501855;-1;34152650;-765481550;383;421;246;5795965045;01-NOV-18 02.00.53.000000 PM;1
0;2-nov-18;501855;32;34158567;-765481800;383;421;246;5795965046;01-NOV-18 02.00.53.000000 PM;1
0;2-nov-18;501855;451;34197383;-765482200;383;421;246;5795965832;01-NOV-18 02.01.21.000000 PM;1
0;2-nov-18;501855;712;34222750;-765473833;383;421;246;5795966331;01-NOV-18 02.01.39.000000 PM;1
0;2-nov-18;501753;7;34235667;-765468867;383;421;246;5795966577;01-NOV-18 02.01.49.000000 PM;1
0;2-nov-18;501753;36;34239867;-765467450;383;421;246;5795966675;01-NOV-18 02.01.52.000000 PM;1
0;2-nov-18;501753;36;34241200;-765466967;383;421;246;5795966708;01-NOV-18 02.01.53.000000 PM;1
0;2-nov-18;501753;8;34244983;-765465433;383;421;246;5795966764;01-NOV-18 02.01.55.000000 PM;1
0;2-nov-18;501753;200;34260333;-765460050;383;421;246;5795967597;01-NOV-18 02.02.25.000000 PM;1
0;2-nov-18;501753;200;34260383;-765460067;383;421;246;5795968378;01-NOV-18 02.02.54.000000 PM;1
0;2-nov-18;501753;496;34286383;-765448533;383;421;246;5795969630;01-NOV-18 02.03.38.000000 PM;1
0;2-nov-18;501753;659;34301017;-765441183;383;421;246;5795969633;01-NOV-18 02.03.38.000000 PM;1
0;2-nov-18;501753;795;34309450;-765436317;383;421;246;5795970326;01-NOV-18 02.04.03.000000 PM;1
0;2-nov-18;501701;-1;34314650;-765432600;383;421;246;5795970695;01-NOV-18 02.04.15.000000 PM;1
0;2-nov-18;501701;36;34319617;-765429883;383;421;246;5795970822;01-NOV-18 02.04.20.000000 PM;1
0;2-nov-18;501701;458;34353500;-765405667;383;421;246;5795971632;01-NOV-18 02.04.49.000000 PM;1
0;2-nov-18;501701;888;34380850;-765382783;383;421;246;5795972453;01-NOV-18 02.05.18.000000 PM;1
0;2-nov-18;501701;1209;34405400;-765361967;383;421;246;5795973256;01-NOV-18 02.05.48.000000 PM;1
0;2-nov-18;501701;1417;34413033;-765346350;383;421;246;5795974107;01-NOV-18 02.06.19.000000 PM;1
0;2-nov-18;501701;1430;34413800;-765344683;383;421;246;5795974862;01-NOV-18 02.06.47.000000 PM;1
0;2-nov-18;501001;-1;34420983;-765329000;383;421;246;5795975341;01-NOV-18 02.07.04.000000 PM;1
0;2-nov-18;501001;31;34423050;-765322267;383;421;246;5795975573;01-NOV-18 02.07.12.000000 PM;1
0;2-nov-18;501001;31;34423267;-765321550;383;421;246;5795975640;01-NOV-18 02.07.14.000000 PM;1
0;2-nov-18;501001;22;34423783;-765319483;383;421;246;5795976412;01-NOV-18 02.07.42.000000 PM;1
0;2-nov-18;501001;324;34426717;-765290100;383;421;246;5795977241;01-NOV-18 02.08.12.000000 PM;1
0;2-nov-18;501001;353;34426600;-765289500;383;421;246;5795978029;01-NOV-18 02.08.40.000000 PM;1
0;2-nov-18;501001;590;34425650;-765266133;383;421;246;5795978856;01-NOV-18 02.09.10.000000 PM;1
0;2-nov-18;501001;760;34433983;-765261250;383;421;246;5795979670;01-NOV-18 02.09.39.000000 PM;1
0;2-nov-18;501001;1114;34469750;-765271733;383;421;246;5795980498;01-NOV-18 02.10.09.000000 PM;1
0;2-nov-18;501001;1257;34477317;-765274467;383;421;246;5795981321;01-NOV-18 02.10.40.000000 PM;1
0;2-nov-18;501001;1263;34479417;-765275100;383;421;246;5795982154;01-NOV-18 02.11.09.000000 PM;1
0;2-nov-18;501001;1290;34480683;-765275483;383;421;246;5795982227;01-NOV-18 02.11.12.000000 PM;1
0;2-nov-18;501502;-1;34493700;-765279767;383;421;246;5795982582;01-NOV-18 02.11.25.000000 PM;1
0;2-nov-18;501502;32;34498917;-765281600;383;421;246;5795982724;01-NOV-18 02.11.30.000000 PM;1
0;2-nov-18;500106;605;34859933;-765124533;383;421;787;5796010506;01-NOV-18 02.27.54.000000 PM;1
0;2-nov-18;500106;620;34858983;-765125233;383;421;787;5796011412;01-NOV-18 02.28.24.000000 PM;1
0;2-nov-18;500106;620;34858950;-765125217;383;421;787;5796012211;01-NOV-18 02.28.53.000000 PM;1
0;2-nov-18;500106;625;34858267;-765125600;383;421;787;5796012354;01-NOV-18 02.28.58.000000 PM;1
0;2-nov-18;502550;-1;34846533;-765132917;383;421;787;5796012827;01-NOV-18 02.29.15.000000 PM;1
0;2-nov-18;500106;884;34844300;-765133800;383;421;787;5796013160;01-NOV-18 02.29.28.000000 PM;1
0;2-nov-18;502550;32;34842400;-765135083;383;421;787;5796013830;01-NOV-18 02.29.52.000000 PM;1
0;2-nov-18;502550;50;34840733;-765136433;383;421;787;5796014646;01-NOV-18 02.30.21.000000 PM;1
0;2-nov-18;502550;54;34840550;-765136667;383;421;787;5796015491;01-NOV-18 02.30.50.000000 PM;1
0;2-nov-18;502550;335;34818233;-765150033;383;421;787;5796016372;01-NOV-18 02.31.20.000000 PM;1
0;2-nov-18;502550;482;34804833;-765158483;383;421;787;5796016871;01-NOV-18 02.31.39.000000 PM;1
0;2-nov-18;502500;4;34787833;-765169167;383;421;787;5796017341;01-NOV-18 02.31.55.000000 PM;1
0;2-nov-18;502550;776;34785433;-765170383;383;421;787;5796017703;01-NOV-18 02.32.09.000000 PM;1
0;2-nov-18;502500;2;34785433;-765170350;383;421;787;5796018191;01-NOV-18 02.32.26.000000 PM;1
0;2-nov-18;502500;2;34785433;-765170350;383;421;787;5796018249;01-NOV-18 02.32.28.000000 PM;1
0;2-nov-18;502550;776;34785433;-765170350;383;421;787;5796018593;01-NOV-18 02.32.39.000000 PM;1
0;2-nov-18;502550;799;34783800;-765171983;383;421;787;5796019443;01-NOV-18 02.33.08.000000 PM;1
0;2-nov-18;502500;31;34783667;-765172083;383;421;787;5796019710;01-NOV-18 02.33.18.000000 PM;1
0;2-nov-18;502500;290;34763650;-765184833;383;421;787;5796020496;01-NOV-18 02.33.45.000000 PM;1
0;2-nov-18;502500;454;34750517;-765192933;383;421;787;5796021360;01-NOV-18 02.34.15.000000 PM;1
0;2-nov-18;502450;4;34746567;-765195217;383;421;787;5796021585;01-NOV-18 02.34.23.000000 PM;1
0;2-nov-18;502500;551;34743367;-765197100;383;421;787;5796022166;01-NOV-18 02.34.44.000000 PM;1
0;2-nov-18;502450;34;34741583;-765198250;383;421;787;5796022563;01-NOV-18 02.34.58.000000 PM;1
