501400,248,SANPAS1,San Pascual A1,-763137728,32633738,-76.52714667,3.442705
501401,254,SANPAS2,San Pascual B1,-763139768,32633480,-76.52771333,3.44263333
501402,254,SANPAS3,San Pascual A2,-763139246,32633792,-76.52756833,3.44272
501403,248,SANPAS4,San Pascual B2,-763138262,32633594,-76.527295,3.442665
501405,254,SANPAS6,San Pascual B3,-763136504,32633342,-76.52680667,3.442595
501450,254,SUCRE2,Sucre B1,-763134416,32636792,-76.52622667,3.44355333
501451,254,SUCRE4,Sucre B2,-763134901,32638317,-76.52636139,3.44397694
501452,248,SUCRE6,Sucre B3,-763135562,32640044,-76.526545,3.44445667
501500,254,PTCUY2,Petecuy B1,-763139960,32655350,-76.52776667,3.44870833
501501,254,PTCUY4,Petecuy B2,-763140553,32657029,-76.52793139,3.44917472
501502,248,PTCUY6,Petecuy B3,-763141130,32658692,-76.52809167,3.44963667
501550,254,SANPED2,San Pedro B1,-763147820,32714760,-76.52995,3.4541
501551,254,SANPED4,San Pedro B2,-763148348,32716158,-76.53009667,3.45448833
501552,254,SANPED6,San Pedro B3,-763149044,32717688,-76.53029,3.45491333
501600,248,SNTLIB1,Santa Librada A1,-763212846,32623970,-76.53690167,3.43999167
501601,254,SNTLIB2,Santa Librada B1,-763213830,32622602,-76.537175,3.43961167
501602,254,SNTLIB3,Santa Librada A2,-763214574,32621798,-76.53738167,3.43938833
501603,254,SNTLIB4,Santa Librada B2,-763211934,32624732,-76.53664833,3.44020333
501650,248,MANZA1,Manzana del Saber A1,-763227348,32605832,-76.54093,3.43495333
501651,254,MANZA2,Manzana del Saber B1,-763227318,32605220,-76.54092167,3.43478333
501652,254,MANZA3,Manzana del Saber A2,-763228416,32604668,-76.54122667,3.43463
501653,254,MANZA4,Manzana del Saber B2,-763226538,32606786,-76.540705,3.43521833
501700,248,ESTAD1,Estadio A1,-763235382,32554834,-76.54316167,3.43189833
501701,254,ESTAD2,Estadio B1,-763235220,32554198,-76.54311667,3.43172167
501702,254,ESTAD3,Estadio A2,-763236342,32553490,-76.54342833,3.431525
501703,248,ESTAD4,Estadio B2,-763234620,32555770,-76.54295,3.43215833
501750,254,TEQUE1,Tequendama A1,-763249308,32524840,-76.54703,3.42356667
501751,254,TEQUE2,Tequendama B1,-763249200,32524348,-76.547,3.42343
501752,254,TEQUE3,Tequendama A2,-763249938,32523286,-76.547205,3.423135
501753,248,TEQUE 4,Tequendama B2,-763248666,32525734,-76.54685167,3.423815
501800,254,LIDO1,Lido A1,-763254210,32508082,-76.54839167,3.41891167
501801,254,LIDO2,Lido B1,-763253670,32507386,-76.54824167,3.41871833
501802,248,LIDO3,Lido A2,-763254054,32506360,-76.54834833,3.41843333
501803,254,LIDO4,Lido B2,-763253610,32508928,-76.548225,3.41914667
501850,254,UDP1,Unidad Deportiva A1,-763254246,32454978,-76.54840167,3.41527167
501851,254,UDP2,Unidad Deportiva B1,-763253658,32452512,-76.54823833,3.41458667
501852,254,UDP3,Unidad Deportiva A2,-763254744,32453790,-76.54854,3.41494167
501853,254,UDP4,Unidad Deportiva B2,-763253616,32453976,-76.54822667,3.41499333
501854,254,UDP5,Unidad Deportiva A3,-763254420,32452116,-76.54845,3.41447667
501855,254,UDP6,Unidad Deportiva B3,-763253802,32455548,-76.54827833,3.41543
